@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 43\nSize of the tree: 85\n','Number of rules: 29\n','Number of rules: 34\n','Number of rules: 33\n','Number of rules: 37\n','Number of rules: 30\n','Number of rules: 35\n','Number of rules: 28\n','Number of rules: 40\n','Number of rules: 38\n','Number of rules: 27\n','Number of rules: 36\n','Number of rules: 31\n','Number of rules: 41\n','Number of rules: 39\n','Number of rules: 24\n','Number of rules: 32\n','Number of rules: 42\n','Number of rules: 26\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pac-man,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,18,9,0,66.666667,33.333333,0,0.438799,0.169582,0.329,69.09191,93.511749,44.906238,3242.994732,-3198.088494,1.663194,120.110916,-118.447722,15.829551,0.58628,35.250228,0.5,1,0.08,2,0.92,23,0.5,1,0.333333,0.5,0.4,0.35,0.8,0.233333,0.666667,0.216364,0.783636,0.333333,0.653232,0.666667,0.64504,0.467538,0.714422,0.594693,0.524554,0.666667,0.004,0,0,0,0,0,17572,36625,5605,88.888889,45.185185,'Number of leaves: 30\nSize of the tree: 59\n',59,30,30
pac-man,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,246,28,14,14,0,50,50,0,0.07109,0.208988,0.369206,85.97343,106.078936,45.713833,5393.966163,-5348.25233,1.632637,192.641649,-191.009012,10.244906,0.36589,22.410954,0,0,0.115385,3,0.884615,23,1,2,0,0,0,-0.096077,0.625,0.160714,0.5,0.412486,0.587514,0.5,0.443027,0.5,0.452565,0.106849,0.6294,0.521239,0.247104,0.5,0.004,0,0,0,0,0,18540,36484,5746,82.142857,45,'Number of leaves: 32\nSize of the tree: 63\n',63,32,32
pac-man,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,246,28,16,12,0,57.142857,42.857143,0,0.243243,0.198714,0.37649,81.460806,107.744948,46.553773,5396.083449,-5349.529677,1.662635,192.717266,-191.054631,10.731358,0.383263,23.051532,0.333333,1,0.08,2,0.92,23,0.666667,2,0.333333,0.333333,0.333333,0.253333,0.64,0.207431,0.571429,0.319907,0.680093,0.428571,0.545739,0.571429,0.54949,0.274993,0.69713,0.571891,0.394048,0.571429,0.004,0,0,0,0,0,14184,36484,5746,82.142857,47.857143,'Number of leaves: 23\nSize of the tree: 45\n',45,23,23
pac-man,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,246,28,19,9,0,67.857143,32.142857,0,0.382353,0.151354,0.308867,62.045922,88.392338,46.553773,2169.682739,-2123.128966,1.662635,77.488669,-75.826034,19.409223,0.693187,41.692052,0.333333,1,0.04,1,0.96,24,0.666667,2,0.5,0.333333,0.4,0.352282,0.66,0.42033,0.678571,0.343571,0.656429,0.321429,0.693182,0.678571,0.643645,0.428487,0.745242,0.680364,0.523559,0.678571,0.014,0,0.015625,0,15.625,0,18056,36484,5746,92.857143,42.857143,'Number of leaves: 31\nSize of the tree: 61\n',61,31,31
pac-man,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,246,28,21,7,0,75,25,0,0.568282,0.148469,0.295737,60.863252,84.634971,46.553773,2169.758653,-2123.20488,1.662635,77.49138,-75.828746,21.526936,0.768819,46.241013,0.333333,1,0.04,1,0.96,24,0.666667,2,0.5,0.333333,0.4,0.352282,0.82,0.491071,0.75,0.208478,0.791522,0.25,0.739087,0.75,0.739636,0.567379,0.797032,0.703522,0.660049,0.75,0.004,0,0,0,0,0,18056,36484,5746,92.857143,47.857143,'Number of leaves: 31\nSize of the tree: 61\n',61,31,31
pac-man,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,11,16,0,40.740741,59.259259,0,-0.099237,0.237335,0.428984,98.923547,125.097138,42.9952,7550.991304,-7507.996104,1.592415,279.666345,-278.07393,2.429536,0.089983,5.650713,0,0,0.08,2,0.92,23,1,2,0,0,0,-0.08,0.57,0.10101,0.407407,0.528909,0.471091,0.592593,0.358187,0.407407,0.379777,-0.133699,0.566304,0.497954,0.198413,0.407407,0.003,0,0,0,0,0,15636,36625,5605,62.962963,37.777778,'Number of leaves: 26\nSize of the tree: 51\n',51,26,26
pac-man,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,15,12,0,55.555556,44.444444,0,0.230404,0.195453,0.368729,81.466609,107.525951,42.9952,4323.414053,-4280.418853,1.592415,160.126446,-158.534032,9.691857,0.358958,22.541718,0,0,0,0,1,25,1,2,?,0,?,?,0.84,0.25,0.555556,0.326307,0.673693,0.444444,?,0.555556,?,?,0.724644,0.632545,?,0.555556,0.003,0,0,0,0,0,15636,36625,5605,85.185185,44.444444,'Number of leaves: 26\nSize of the tree: 51\n',51,26,26
pac-man,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,16,11,0,59.259259,40.740741,0,0.192935,0.185533,0.365802,77.332143,106.672512,42.9952,4321.042682,-4278.047482,1.592415,160.038618,-158.446203,9.746415,0.360978,22.668612,0,0,0.04,1,0.96,24,1,2,0,0,0,-0.05547,0.5,0.082492,0.592593,0.403344,0.596656,0.407407,0.530864,0.592593,0.544127,0.229497,0.693347,0.546279,0.335023,0.592593,0.002,0,0,0,0,0,19508,36625,5605,81.481481,40.740741,'Number of leaves: 34\nSize of the tree: 67\n',67,34,34
pac-man,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,15,12,0,55.555556,44.444444,0,0.19,0.193906,0.346948,80.821788,101.174431,42.9952,3246.9761,-3203.9809,1.592415,120.258374,-118.665959,10.807827,0.40029,25.137288,0.5,1,0.12,3,0.88,22,0.5,1,0.25,0.5,0.333333,0.28014,0.57,0.203704,0.555556,0.351445,0.648555,0.444444,0.609162,0.555556,0.526631,0.245374,0.734032,0.630945,0.352381,0.555556,0.003,0,0,0,0,0,15636,36625,5605,88.888889,48.888889,'Number of leaves: 26\nSize of the tree: 51\n',51,26,26
pac-man,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,17,10,0,62.962963,37.037037,0,0.258242,0.167697,0.318725,68.438862,90.760888,44.635839,1104.099723,-1059.463884,1.653179,40.892582,-39.239403,14.501248,0.537083,32.487902,0,0,0.04,1,0.96,24,1,2,0,0,0,-0.05547,0.67,0.216667,0.62963,0.383915,0.616085,0.37037,?,0.62963,?,?,0.849482,0.707163,?,0.62963,0.002,0,0,0,0,0,14184,36625,5605,92.592593,48.148148,'Number of leaves: 23\nSize of the tree: 45\n',45,23,23
