@relation pac-man
@attribute ronda_tick NUMERIC
@attribute width NUMERIC
@attribute height NUMERIC
@attribute pmanPosX NUMERIC
@attribute pmanPosY NUMERIC
@attribute legalWest {None, West}
@attribute legalStop {None, Stop}
@attribute legalEast {None, East}
@attribute legalNorth {None, North}
@attribute legalSouth {None, South}
@attribute direction {Stop,West,East,North,South}
@attribute numAgents NUMERIC
@attribute livingG_0 {True,False}
@attribute livingG_1 {True,False}
@attribute livingG_2 {True,False}
@attribute livingG_3 {True,False}
@attribute livingG_4 {True,False}
@attribute g1posX NUMERIC
@attribute g1posY NUMERIC
@attribute g2posX NUMERIC
@attribute g2posY NUMERIC
@attribute g3posX NUMERIC
@attribute g3posY NUMERIC
@attribute g4posX NUMERIC
@attribute g4posY NUMERIC
@attribute g1dir {Stop,West,East,North,South}
@attribute g2dir {Stop,West,East,North,South}
@attribute g3dir {Stop,West,East,North,South}
@attribute g4dir {Stop,West,East,North,South}
@attribute g1dist NUMERIC
@attribute g2dist NUMERIC
@attribute g3dist NUMERIC
@attribute g4dist NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute score NUMERIC
@attribute scoreSiguiente NUMERIC
@attribute action {Stop,West,East,North,South}

@data
55,20,13,1,5,None,Stop,East,North,South,West,4,False,True,False,False,False,1,3,3,1,5,1,7,1,South,Stop,Stop,Stop,2,2,2,2,0,-1,745,South,744
1,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,11,11,11,11,2,14,-1,Stop,-2
2,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,4,6,8,9,11,14,6,South,South,East,Stop,12,12,12,12,2,14,-2,Stop,-3
3,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,5,4,6,7,8,11,14,6,West,South,West,Stop,11,11,11,11,2,14,-3,East,-4
7,20,13,5,11,West,Stop,East,None,South,East,4,False,True,True,True,True,9,4,6,9,5,10,12,5,East,North,South,West,11,11,11,11,2,10,-7,East,-8
8,20,13,6,11,West,Stop,East,None,South,East,4,False,True,True,True,True,9,3,5,9,5,9,11,5,South,West,South,West,11,11,11,11,2,9,-8,South,-9
9,20,13,6,10,West,Stop,None,North,South,South,4,False,True,True,True,True,8,3,5,9,4,9,12,5,West,West,West,East,9,9,9,9,2,8,-9,South,-10
10,20,13,6,9,West,Stop,East,North,South,South,4,False,True,True,True,True,8,4,5,9,5,9,11,5,North,West,East,West,7,7,7,7,2,7,-10,West,389
11,20,13,5,9,West,Stop,East,North,South,West,4,False,True,False,False,True,8,5,5,9,5,1,10,5,North,Stop,Stop,West,7,7,7,7,2,8,389,West,388
12,20,13,4,9,West,Stop,East,None,South,West,4,False,True,False,False,True,8,6,3,1,5,1,11,5,North,Stop,Stop,East,7,7,7,7,2,9,388,South,387
13,20,13,4,8,West,Stop,East,North,South,South,4,False,True,False,False,True,8,6,3,1,5,1,11,4,North,Stop,Stop,South,6,6,6,6,2,8,387,East,386
14,20,13,5,8,West,Stop,East,North,South,East,4,False,True,False,False,True,8,6,3,1,5,1,11,3,North,Stop,Stop,South,5,5,5,5,2,7,386,East,385
15,20,13,6,8,West,Stop,East,North,South,East,4,False,True,False,False,True,8,7,3,1,5,1,10,3,North,Stop,Stop,West,3,3,3,3,2,6,385,East,384
16,20,13,7,8,West,Stop,East,North,South,East,4,False,True,False,False,True,8,8,3,1,5,1,9,3,North,Stop,Stop,West,1,1,1,1,2,5,384,East,583
17,20,13,8,8,West,Stop,East,North,South,East,4,False,False,False,False,True,8,8,3,1,5,1,9,3,Stop,Stop,Stop,West,-1,-1,-1,-1,2,4,583,East,582
18,20,13,9,8,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,8,3,Stop,Stop,Stop,West,-1,-1,-1,-1,2,3,582,South,581
19,20,13,9,7,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,7,3,Stop,Stop,Stop,West,-1,-1,-1,-1,2,2,581,South,580
20,20,13,9,6,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,8,3,Stop,Stop,Stop,East,-1,-1,-1,-1,2,1,580,East,679
21,20,13,10,6,West,Stop,None,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,8,3,Stop,Stop,Stop,East,-1,-1,-1,-1,1,8,679,Stop,678
22,20,13,10,6,West,Stop,None,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,9,3,Stop,Stop,Stop,East,-1,-1,-1,-1,1,8,678,South,677
23,20,13,10,5,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,9,4,Stop,Stop,Stop,North,-1,-1,-1,-1,1,9,677,South,676
24,20,13,10,4,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,9,5,Stop,Stop,Stop,North,-1,-1,-1,-1,1,10,676,West,675
25,20,13,9,4,West,Stop,East,North,South,West,4,False,False,False,False,True,1,1,3,1,5,1,10,5,Stop,Stop,Stop,East,-1,-1,-1,-1,1,11,675,North,674
26,20,13,9,5,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,11,5,Stop,Stop,Stop,East,-1,-1,-1,-1,1,10,674,East,673
27,20,13,10,5,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,11,5,Stop,Stop,Stop,East,-1,-1,-1,-1,1,9,673,East,672
28,20,13,11,5,West,Stop,East,None,South,East,4,False,False,False,False,True,1,1,3,1,5,1,12,5,Stop,Stop,Stop,East,-1,-1,-1,-1,1,8,672,East,671
30,20,13,13,5,West,Stop,East,None,South,East,4,False,False,False,False,True,1,1,3,1,5,1,13,4,Stop,Stop,Stop,South,-1,-1,-1,-1,1,6,670,East,669
