@relation pac-man

@attribute width NUMERIC
@attribute height NUMERIC
@attribute pacmanPosition NUMERIC
@attribute legalPacmanActions NUMERIC
@attribute direction NUMERIC
@attribute numAgents NUMERIC
@attribute livingGhosts NUMERIC
@attribute ghostPositions NUMERIC
@attribute ghostDirections NUMERIC
@attribute ghostDistances NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute action NUMERIC
@attribute score NUMERIC

@data
22,18,117,40312,1,4,10000,237151414184,4421,13121010,11,1,4,92
22,18,127,40312,3,4,10000,237151414184,4421,141399,11,2,1,91
22,18,117,40312,4,4,10000,237151414184,4421,13121010,11,1,4,190
22,18,107,40312,4,4,10000,237141414194,4223,12101112,10,1,2,189
22,18,97,40312,4,4,10000,236141414184,4424,11101212,10,2,2,188
22,18,98,0312,1,4,10000,336141414183,3422,1191114,10,1,2,287
22,18,108,40312,3,4,10000,347141415193,1313,1191114,9,1,1,286
22,18,107,40312,2,4,10000,247141416193,4313,11101313,9,2,4,285
22,18,108,40312,1,4,10000,237141416183,2314,1391213,9,1,4,384
22,18,109,40312,1,4,10000,237151416184,2111,1491113,8,1,1,483
22,18,1010,40312,1,4,10000,247151316194,1143,148915,7,1,1,582
22,18,1011,40312,1,4,10000,147141315194,4223,166716,6,1,4,681
22,18,1012,4032,1,4,10000,157141415193,1232,165718,5,1,2,680
22,18,912,40312,4,4,10000,167151515203,1133,145920,5,2,1,679
22,18,812,403,4,4,10000,156151516204,2411,1451120,5,3,4,678
22,18,912,40312,3,4,10000,166141416205,1241,145918,5,2,3,677
22,18,911,0312,2,4,10000,175141316204,1442,127918,5,2,0,676
22,18,1011,40312,3,4,10000,275141416205,3431,128916,5,1,3,675
22,18,1012,4032,1,4,10000,276141416206,3331,136816,5,1,4,674
22,18,912,40312,4,4,10000,285141316207,1441,116816,5,2,1,673
22,18,911,0312,2,4,10000,285141416207,1431,1071015,5,2,3,672
22,18,1011,40312,3,4,10000,276141516197,2334,1271013,5,1,4,671
22,18,1012,4032,1,4,10000,266151515197,2124,147814,5,1,3,670
22,18,912,40312,4,4,10000,276151514197,1124,126815,5,2,1,669
22,18,1012,4032,3,4,10000,266161513197,2124,148614,5,1,3,768
22,18,1112,4032,3,4,10000,275161514198,1411,1410612,4,1,2,867
22,18,1111,40312,2,4,10000,265161515199,2411,1411810,3,1,1,866
22,18,1011,40312,4,4,10000,164161415209,4443,1411812,3,2,3,865
22,18,1111,40312,3,4,10000,164161515209,4433,1512811,3,1,2,964
22,18,1110,40312,2,4,10000,173161515208,1432,1314911,2,1,1,963
22,18,1210,4012,3,4,10000,164161515208,2332,1514810,2,2,0,962
22,18,129,40312,2,4,10000,173161516198,1414,1316108,2,1,4,961
22,18,1210,4012,1,4,10000,163161616199,2431,1515108,2,2,1,960
22,18,129,40312,2,4,10000,264161616199,3331,1315117,2,1,4,959
22,18,128,4012,2,4,10000,164161516189,4344,1316117,2,1,1,958
22,18,128,4012,2,4,10000,174161516179,1344,1216116,2,1,4,957
22,18,128,4012,2,4,10000,2731614161710,3441,1117107,2,1,0,956
22,18,128,4012,2,4,10000,2721613161710,3441,111897,2,1,1,955
22,18,127,40312,2,4,10000,2821612161610,1444,111997,2,2,1,954
22,18,128,4012,1,4,10000,1831613161510,4334,111795,2,1,2,953
22,18,127,40312,2,4,10000,1841613151610,4323,121797,2,2,3,952
22,18,126,4012,2,4,10000,1831613161710,4413,1319119,2,3,0,951
