@relation pac-man

@attribute width NUMERIC
@attribute height NUMERIC
@attribute pacmanPosition NUMERIC
@attribute legalPacmanActions NUMERIC
@attribute direction NUMERIC
@attribute numAgents NUMERIC
@attribute livingGhosts NUMERIC
@attribute ghostPositions NUMERIC
@attribute ghostDirections NUMERIC
@attribute ghostDistances NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute action NUMERIC
@attribute score NUMERIC

@data
16,5,51,403,3,4,11110,113151142,0000,00010,0,0,3,1784
16,5,61,403,3,4,11110,113151142,0000,0009,0,0,3,1783
16,5,71,403,3,4,11110,113151142,0000,0008,0,0,3,1782
16,5,81,403,3,4,11110,113151142,0000,0007,0,0,3,1781
16,5,91,4031,3,4,11110,113151142,0000,0006,0,0,3,1780
16,5,92,012,1,4,11110,113151142,0000,0005,0,0,1,1779
16,5,93,4032,1,4,11110,113151142,0000,0006,0,0,0,1778
16,5,103,403,3,4,11110,113151142,0000,0005,0,0,3,1777
16,5,113,403,3,4,11110,113151142,0000,0004,0,0,3,1776
16,5,123,403,3,4,11110,113151142,0000,0003,0,0,3,1775
16,5,133,403,3,4,11110,113151142,0000,0002,0,0,3,1774
16,5,143,402,3,4,11110,113151142,0000,0001,0,0,0,1973
0,0,0,0,0,0,0,0,0,0,0,0,0,-1
22,18,125,401,0,4,10000,247151415194,0000,1115128,12,3,0,-2
22,18,125,401,0,4,10000,237141415195,2201,1214127,12,3,0,-3
22,18,125,401,0,4,10000,246141414195,1421,1115117,12,3,0,-4
22,18,125,401,0,4,10000,245141514185,1434,1116126,12,3,0,-5
22,18,126,4012,1,4,10000,244141513195,1423,1216108,12,2,1,-6
22,18,127,40312,1,4,10000,343141512195,3423,121689,12,1,1,-7
22,18,128,4012,1,4,10000,353131512185,1224,121479,12,1,1,-8
22,18,129,40312,1,4,10000,453121513185,3214,1212710,12,1,1,-9
22,18,1210,4012,1,4,10000,353111514185,4214,1410711,12,1,1,90
22,18,1110,40312,4,4,10000,353101514195,4213,138813,11,1,4,189
